    Residual          Y-hat        Observation
   -0.131330         19.6550         19.5236    
   -0.200165         19.6672         19.4670    
    0.790207         20.6601         21.4503    
    -1.01708         18.6889         17.6718    
   -0.532683         19.0869         18.5542    
   -0.733216         18.9985         18.2653    
   -0.427483         19.3320         18.9045    
   -0.575044         19.1710         18.5960    
    0.216841         20.0347         20.2515    
    0.829007E-01     19.3156         19.3985    
   -0.360248         19.2616         18.9014    
   -0.369996         20.0819         19.7119    
    0.134488         19.9449         20.0794    
    0.507995         19.8257         20.3337    
   -0.149164         19.4514         19.3022    
   -0.444187         19.3137         18.8696    
    0.544658         20.3922         20.9369    
    0.515001         20.3599         20.8749    
   -0.413579         19.3471         18.9335    
   -0.399120E-01     19.7547         19.7148    
   -0.330712         19.6999         19.3692    
    0.489220         20.2109         20.7002    
    0.384127         20.2172         20.6013    
   -0.536401         19.2657         18.7293    
   -0.227089         19.5505         19.3234    
    0.170223E-01     19.8168         19.8338    
     1.89831         21.8558         23.7541    
    0.598057         20.6531         21.2512    
     1.34464         20.4385         21.7832    
    0.239686         19.8331         20.0728    
   -0.368423         19.2770         18.9086    
   -0.565273         18.6281         18.0628    
    0.194746         20.0106         20.2054    
     1.08353         21.2865         22.3700    
    0.843351         20.1789         21.0223    
     1.05349         20.9472         22.0007    
    0.528783         20.1402         20.6690    
   -0.258704         19.5160         19.2573    
    0.461463         20.3546         20.8161    
   -0.251549         19.5238         19.2723    
   -0.944894         18.9979         18.0531    
    0.119058         19.9281         20.0471    
   -0.786758         18.9401         18.1534    
     1.14118         21.3443         22.4855    
    0.101407         19.9088         20.0102    
    0.394981E-01     20.1599         20.1994    
   -0.128857         19.3410         19.2121    
    0.389457E-01     19.8407         19.8796    
   -0.112576E-01     19.7859         19.7747    
   -0.361453         19.7772         19.4158    
   -0.771310         19.1689         18.3976    
   -0.130236         19.2880         19.1577    
   -0.274993         20.6044         20.3294    
   -0.753390         18.4066         17.6532    
     1.36343         21.3762         22.7396    
   -0.296691         19.4746         19.1779    
   -0.313516         19.5602         19.2467    
    0.562266         20.4114         20.9737    
    0.491433         20.3342         20.8256    
   -0.284367         19.4881         19.2037    
   -0.450015         20.1713         19.7212    
   -0.604617E-02     19.3993         19.3933    
   -0.328308         18.2485         17.9202    
     1.49887         20.2908         21.7896    
   -0.169535         20.4633         20.2937    
    0.265373         20.0876         20.3530    
   -0.143356         18.9778         18.8344    
    0.137084         19.5144         19.6515    
   -0.300354         19.9959         19.6955    
    0.856805         20.7327         21.5895    
    -1.21072         18.4777         17.2670    
   -0.880810         18.9099         18.0291    
   -0.203633         18.9900         18.7863    
   -0.136423         19.6494         19.5130    
    0.388225         21.1878         21.5760    
   -0.503218         19.2494         18.7461    
    0.235886         18.2787         18.5146    
    0.903160         20.7832         21.6864    
   -0.129233         19.6768         19.5476    
    0.569975         20.4199         20.9898    
   -0.246752         19.4673         19.2206    
    0.331312         19.5267         19.8580    
   -0.240211         19.9523         19.7121    
