    Residual          Y-hat        Observation
   -0.163631         19.6873         19.5236    
   -0.227485         19.6945         19.4670    
    0.755537         20.6947         21.4503    
    -1.04711         18.7189         17.6718    
   -0.558019         19.1122         18.5542    
   -0.763970         19.0293         18.2653    
   -0.459023         19.3635         18.9045    
   -0.606204         19.2022         18.5960    
    0.183645         20.0679         20.2515    
    0.605170E-01     19.3380         19.3985    
   -0.370023         19.2714         18.9014    
   -0.381897         20.0938         19.7119    
    0.101504         19.9779         20.0794    
    0.484469         19.8493         20.3337    
   -0.170325         19.4725         19.3022    
   -0.475684         19.3452         18.8696    
    0.510620         20.4263         20.9369    
    0.481039         20.3939         20.8749    
   -0.445154         19.3787         18.9335    
   -0.724478E-01     19.7872         19.7148    
   -0.354357         19.7235         19.3692    
    0.469973         20.2302         20.7002    
    0.350502         20.2508         20.6013    
   -0.564164         19.2934         18.7293    
   -0.259144         19.5826         19.3234    
   -0.156598E-01     19.8494         19.8338    
     1.87255         21.8816         23.7541    
    0.571358         20.6798         21.2512    
     1.31907         20.4641         21.7832    
    0.217648         19.8551         20.0728    
   -0.394580         19.3032         18.9086    
   -0.587329         18.6502         18.0628    
    0.161607         20.0437         20.2054    
     1.05643         21.3136         22.3700    
    0.826192         20.1961         21.0223    
     1.01814         20.9826         22.0007    
    0.507554         20.1614         20.6690    
   -0.290678         19.5480         19.2573    
    0.435744         20.3803         20.8161    
   -0.283541         19.5558         19.2723    
   -0.971043         19.0241         18.0531    
    0.861136E-01     19.9610         20.0471    
   -0.817375         18.9707         18.1534    
     1.11469         21.3708         22.4855    
    0.685083E-01     19.9417         20.0102    
    0.186135E-01     20.1808         20.1994    
   -0.139037         19.3511         19.2121    
    0.620718E-02     19.8734         19.8796    
   -0.438671E-01     19.8185         19.7747    
   -0.389110         19.8049         19.4158    
   -0.794588         19.1922         18.3976    
   -0.153718         19.3114         19.1577    
   -0.285325         20.6147         20.3294    
   -0.778714         18.4319         17.6532    
     1.33269         21.4069         22.7396    
   -0.328567         19.5065         19.1779    
   -0.340622         19.5873         19.2467    
    0.528182         20.4455         20.9737    
    0.457532         20.3681         20.8256    
   -0.316275         19.5200         19.2037    
   -0.465131         20.1864         19.7212    
   -0.191949E-01     19.4125         19.3933    
   -0.353481         18.2737         17.9202    
     1.48671         20.3029         21.7896    
   -0.183226         20.4770         20.2937    
    0.232053         20.1210         20.3530    
   -0.163708         18.9981         18.8344    
    0.109865         19.5416         19.6515    
   -0.326454         20.0220         19.6955    
    0.821965         20.7675         21.5895    
    -1.24025         18.5072         17.2670    
   -0.898165         18.9273         18.0291    
   -0.227224         19.0135         18.7863    
   -0.168711         19.6817         19.5130    
    0.369400         21.2066         21.5760    
   -0.534563         19.2807         18.7461    
    0.218523         18.2961         18.5146    
    0.868201         20.8182         21.6864    
   -0.151164         19.6987         19.5476    
    0.535872         20.4540         20.9898    
   -0.265729         19.4863         19.2206    
    0.317911         19.5401         19.8580    
   -0.264704         19.9768         19.7121    
    0.345016         20.2448         20.5898    
   -0.825738         18.9616         18.1358    
    0.664560         20.5950         21.2596    
     1.32009         19.6852         21.0053    
   -0.235600         19.2434         19.0078    
   -0.886899         19.3516         18.4647    
    0.597465         19.7478         20.3452    
    0.185487         19.6602         19.8457    
   -0.747898         19.2458         18.4979    
   -0.236600         18.9871         18.7505    
    0.809054E-01     19.9553         20.0362    
   -0.584374         19.4506         18.8663    
   -0.293718         19.4646         19.1709    
    0.705887         20.6403         21.3462    
   -0.250742         19.5918         19.3410    
   -0.223883         19.7219         19.4980    
   -0.432452         20.3193         19.8868    
   -0.178195         19.7919         19.6137    
    0.264872         20.5536         20.8185    
    0.603332         20.5342         21.1375    
    0.888664         19.9481         20.8367    
    0.342755         20.6106         20.9534    
    0.242647         19.4643         19.7070    
    0.160771         20.0428         20.2036    
   -0.731361E-01     19.7865         19.7133    
   -0.990890         19.2937         18.3028    
   -0.496228         19.3227         18.8265    
   -0.575953         19.2353         18.6594    
    -1.76065         20.0873         18.3267    
   -0.225183         19.6695         19.4443    
   -0.247791         19.4348         19.1870    
    0.297412         20.1926         20.4900    
   -0.147015         20.6521         20.5050    
    0.280681         18.1251         18.4058    
    0.240719         20.1305         20.3712    
     1.48201         21.0581         22.5401    
    0.208731         19.8346         20.0434    
   -0.110295         19.7457         19.6354    
    0.410204E-01     20.0430         20.0840    
    0.914133         19.5632         20.4773    
   -0.849190         18.9359         18.0867    
    0.435900         21.5383         21.9742    
   -0.173645         19.6763         19.5026    
   -0.930517         18.9789         18.0483    
