 Run No.   Original ID Tr     Solution     Inbr %                                                                        
       1         10001  1   -0.179348       0.000    
       2         10002  1   -0.172112       0.000    
       3         10003  1    0.828109       0.000    
       4         10004  1    -1.14768       0.000    
       5         10005  1   -0.754399       0.000    
       6         10006  1   -0.837352       0.000    
       7         10007  1   -0.503114       0.000    
       8         10008  1   -0.664432       0.000    
       9         10009  1    0.201285       0.000    
      10         10010  1   -0.528625       0.000    
      11         10011  1   -0.595237       0.000    
      12         10012  1    0.227169       0.000    
      13         10013  1    0.111254       0.000    
      14         10014  1   -0.173532E-01   0.000    
      15         10015  1   -0.394081       0.000    
      16         10016  1   -0.521375       0.000    
      17         10017  1    0.559667       0.000    
      18         10018  1    0.527245       0.000    
      19         10019  1   -0.487913       0.000    
      20         10020  1   -0.794066E-01   0.000    
      21         10021  1   -0.143069       0.000    
      22         10022  1    0.363580       0.000    
      23         10023  1    0.384169       0.000    
      24         10024  1   -0.573171       0.000    
      25         10025  1   -0.284035       0.000    
      26         10026  1   -0.171640E-01   0.000    
      27         10027  1     2.01494       0.000    
      28         10028  1    0.813215       0.000    
      29         10029  1    0.597507       0.000    
      30         10030  1   -0.115106E-01   0.000    
      31         10031  1   -0.563444       0.000    
      32         10032  1    -1.21646       0.000    
      33         10033  1    0.177130       0.000    
      34         10034  1     1.44694       0.000    
      35         10035  1    0.329466       0.000    
      36         10036  1     1.11594       0.000    
      37         10037  1    0.294787       0.000    
      38         10038  1   -0.318598       0.000    
      39         10039  1    0.513698       0.000    
      40         10040  1   -0.310776       0.000    
      41         10041  1   -0.842515       0.000    
      42         10042  1    0.943851E-01   0.000    
      43         10043  1   -0.895886       0.000    
      44         10044  1     1.50419       0.000    
      45         10045  1    0.750888E-01   0.000    
      46         10046  1    0.314141       0.000    
      47         10047  1   -0.515464       0.000    
      48         10048  1    0.680340E-02   0.000    
      49         10049  1   -0.480806E-01   0.000    
      50         10050  1   -0.617082E-01   0.000    
      51         10051  1   -0.674432       0.000    
      52         10052  1   -0.555175       0.000    
      53         10053  1    0.748105       0.000    
      54         10054  1    -1.43468       0.000    
      55         10055  1     1.54031       0.000    
      56         10056  1   -0.360127       0.000    
      57         10057  1   -0.279315       0.000    
      58         10058  1    0.578916       0.000    
      59         10059  1    0.501479       0.000    
      60         10060  1   -0.346654       0.000    
