    Residual          Y-hat        Observation
    -1.50319         21.0268         19.5236    
    -1.70420         21.1712         19.4670    
   -0.715085         22.1653         21.4503    
    -2.52048         20.1923         17.6718    
    -2.03645         20.5906         18.5542    
    -2.23691         20.5022         18.2653    
    -1.93150         20.8360         18.9045    
    -2.07891         20.6749         18.5960    
    -1.28785         21.5394         20.2515    
    -1.42095         20.8195         19.3985    
    -1.86390         20.7653         18.9014    
    -1.87349         21.5854         19.7119    
    -1.37012         21.4495         20.0794    
   -0.996449         21.3302         20.3337    
    -1.65293         20.9551         19.3022    
    -1.94819         20.8177         18.8696    
   -0.960376         21.8973         20.9369    
   -0.990002         21.8649         20.8749    
    -1.91761         20.8512         18.9335    
    -1.54433         21.2591         19.7148    
    -1.83463         21.2038         19.3692    
    -1.01507         21.7152         20.7002    
    -1.12074         21.7220         20.6013    
    -2.04025         20.7695         18.7293    
    -1.73132         21.0548         19.3234    
    -1.48746         21.3212         19.8338    
    0.392769         23.3613         23.7541    
   -0.906837         22.1580         21.2512    
   -0.160381         21.9436         21.7832    
    -1.26447         21.3372         20.0728    
    -1.87229         20.7809         18.9086    
    -2.06871         20.1315         18.0628    
    -1.30992         21.5153         20.2054    
   -0.421797         22.7918         22.3700    
   -0.660962         21.6832         21.0223    
   -0.452079         22.4528         22.0007    
   -0.975631         21.6446         20.6690    
    -1.76290         21.0202         19.2573    
    -1.04319         21.8592         20.8161    
    -1.75575         21.0280         19.2723    
    -2.44831         20.5014         18.0531    
    -1.38553         21.4326         20.0471    
    -2.29040         20.4438         18.1534    
   -0.364113         22.8496         22.4855    
    -1.40316         21.4134         20.0102    
    -1.46479         21.6642         20.1994    
    -1.63216         20.8443         19.2121    
    -1.46556         21.3452         19.8796    
    -1.51571         21.2904         19.7747    
    -1.86562         21.2814         19.4158    
    -2.27497         20.6726         18.3976    
    -1.63419         20.7919         19.1577    
    -1.77883         22.1082         20.3294    
    -2.25662         19.9098         17.6532    
   -0.142147         22.8818         22.7396    
    -1.80084         20.9788         19.1779    
    -1.81753         21.0642         19.2467    
   -0.942787         21.9165         20.9737    
    -1.01355         21.8392         20.8256    
    -1.78853         20.9922         19.2037    
    -1.95390         21.6751         19.7212    
    -1.50957         20.9029         19.3933    
    -1.83163         19.7518         17.9202    
   -0.536955E-02     21.7950         21.7896    
    -1.67351         21.9673         20.2937    
    -1.23937         21.5924         20.3530    
    -1.64699         20.4814         18.8344    
    -1.36718         21.0186         19.6515    
    -1.80447         21.5000         19.6955    
   -0.648556         22.2381         21.5895    
    -2.71392         19.9809         17.2670    
    -2.38405         20.4131         18.0291    
    -1.70749         20.4938         18.7863    
    -1.64074         21.1537         19.5130    
    -1.11624         22.6922         21.5760    
    -2.00716         20.7533         18.7461    
    -1.26736         19.7820         18.5146    
   -0.602250         22.2887         21.6864    
    -1.63347         21.1810         19.5476    
   -0.935086         21.9249         20.9898    
    -1.75036         20.9709         19.2206    
    -1.17255         21.0305         19.8580    
    -1.74439         21.4565         19.7121    
    -1.12623         21.7160         20.5898    
    -2.29878         20.4346         18.1358    
   -0.806201         22.0658         21.2596    
   -0.170075         21.1754         21.0053    
    -1.71322         20.7210         19.0078    
    -2.37007         20.8348         18.4647    
   -0.892553         21.2378         20.3452    
    -1.29816         21.1439         19.8457    
    -2.22617         20.7241         18.4979    
    -1.73055         20.4810         18.7505    
    -1.39075         21.4269         20.0362    
    -2.06372         20.9300         18.8663    
    -1.77440         20.9453         19.1709    
   -0.764811         22.1110         21.3462    
    -1.72290         21.0639         19.3410    
    -1.70456         21.2025         19.4980    
    -1.92820         21.8150         19.8868    
    -1.67399         21.2877         19.6137    
    -1.21082         22.0293         20.8185    
   -0.874919         22.0124         21.1375    
   -0.596255         21.4330         20.8367    
    -1.13353         22.0869         20.9534    
    -1.23326         20.9403         19.7070    
    -1.31076         21.5144         20.2036    
    -1.54502         21.2583         19.7133    
    -2.46724         20.7701         18.3028    
    -1.96876         20.7953         18.8265    
    -2.04861         20.7080         18.6594    
    -3.25768         21.5843         18.3267    
    -1.71146         21.1557         19.4443    
    -1.73414         20.9212         19.1870    
    -1.17391         21.6639         20.4900    
    -1.63147         22.1365         20.5050    
    -1.21374         19.6195         18.4058    
    -1.23069         21.6019         20.3712    
   -0.255596E-02     22.5426         22.5401    
    -1.27254         21.3159         20.0434    
    -1.58224         21.2177         19.6354    
    -1.44073         21.5248         20.0840    
   -0.568593         21.0459         20.4773    
    -2.32226         20.4089         18.0867    
    -1.04394         23.0181         21.9742    
    -1.64569         21.1483         19.5026    
    -2.41700         20.4653         18.0483    
    -3.02490         19.6411         16.6162    
    -2.54220         21.0854         18.5432    
    -1.50078         21.1325         19.6317    
   -0.559827         22.3350         21.7752    
    -2.82552         19.8589         17.0334    
    -1.10746         21.5328         20.4254    
    -1.44221         21.3429         19.9007    
   -0.993692         21.7564         20.7627    
   -0.148825         22.4059         22.2571    
    -1.88990         21.7942         19.9043    
    -1.32706         21.4965         20.1695    
    -1.04405         21.2845         20.2404    
    -1.85503         21.4551         19.6001    
    -1.10042         20.1438         19.0434    
    -2.27719         20.4850         18.2078    
    -1.43138         21.6377         20.2064    
    -2.35602         20.3720         18.0160    
    -1.58406         21.2347         19.6506    
    -2.06338         20.6918         18.6285    
   -0.999409         21.2559         20.2565    
    -1.45094         21.4353         19.9843    
    -2.27620         20.4593         18.1831    
    -2.87186         19.8083         16.9364    
    -2.10563         20.8296         18.7240    
    -2.16694         21.0218         18.8549    
    -1.14053         21.7004         20.5599    
    -1.11355         21.3308         20.2172    
    -1.95324         21.0512         19.0979    
   -0.275789         22.9424         22.6666    
    -1.58813         20.7627         19.1745    
    -1.21450         21.3660         20.1515    
    -2.71102         20.2942         17.5832    
    -2.06714         20.9825         18.9153    
    -1.47272         21.3374         19.8646    
    -1.56670         21.6331         20.0664    
    -1.27752         21.5507         20.2732    
    -1.57849         20.7787         19.2002    
    -1.53460         22.3304         20.7958    
    -1.00510         20.9756         19.9705    
    -2.87946         20.3579         17.4785    
    -1.25577         21.1709         19.9151    
    -1.59751         21.2010         19.6035    
   -0.824799         22.0454         21.2206    
    -1.13285         21.7088         20.5759    
    -2.11845         20.6317         18.5132    
    -1.71354         21.0742         19.3606    
    -1.22101         20.6967         19.4757    
    -1.49289         21.3153         19.8224    
    -1.60987         20.5765         18.9666    
    -1.40688         21.4093         20.0024    
    -1.95009         20.2292         18.2791    
    -2.11405         21.7039         19.5899    
   -0.363532         22.5495         22.1860    
    -1.10229         21.7422         20.6399    
    -1.81078         20.7721         18.9613    
    -2.18415         20.5599         18.3757    
    -2.73328         19.9597         17.2265    
   -0.783806         22.0902         21.3064    
   -0.530231         21.8654         21.3352    
    -3.14662         21.4080         18.2614    
    -2.04167         20.9580         18.9163    
   -0.948804         21.6305         20.6817    
    -1.64883         21.0161         19.3673    
    -1.81551         20.5970         18.7815    
    -1.21856         21.4285         20.2100    
    -1.03891         21.8115         20.7725    
    -1.97977         20.6726         18.6928    
    -1.93620         20.8308         18.8947    
    -2.49132         20.2242         17.7328    
    -1.41978         20.8047         19.3849    
    -1.91551         21.1778         19.2623    
    -1.69903         20.9209         19.2218    
    -1.31674         21.5078         20.1911    
    -1.48029         19.4401         17.9598    
   -0.979752         21.8761         20.8963    
    -1.22865         22.3997         21.1710    
   -0.711951         21.3497         20.6378    
   -0.732756E-01     22.8668         22.7935    
   -0.964315         21.2184         20.2541    
    -1.41329         22.1827         20.7694    
    -1.18875         21.6477         20.4589    
    -1.09000         22.7370         21.6471    
    -1.52829         20.8239         19.2956    
    -1.41799         21.4361         20.0182    
   -0.977332         22.1448         21.1675    
    -2.35551         20.3726         18.0171    
   -0.302238         22.0420         21.7398    
    -1.21331         20.5995         19.3862    
   -0.865290         22.1522         21.2869    
   -0.971886         22.1467         21.1748    
    -1.26977         21.5592         20.2894    
    -2.24657         20.6102         18.3636    
   -0.962064         21.5419         20.5799    
    -1.42592         21.3885         19.9626    
    -2.24945         21.7754         19.5259    
    -2.29715         21.2441         18.9470    
    -1.33586         21.4869         20.1511    
   -0.713492         22.1671         21.4536    
    -2.50487         21.7853         19.2805    
    -1.37297         20.8317         19.4587    
    -1.90837         21.0722         19.1638    
   -0.999923         21.8439         20.8440    
    -1.61901         20.7878         19.1688    
    -1.31220         21.5128         20.2006    
    -2.28791         20.3492         18.0613    
    -1.67224         22.0494         20.3771    
   -0.888799         21.9755         21.0867    
   -0.335409         22.0691         21.7337    
    -2.26340         20.4733         18.2099    
    -1.27719         21.4326         20.1555    
    -1.12482         21.9782         20.8534    
    -1.00228         21.8515         20.8492    
    -1.19524         21.6406         20.4454    
    -1.26073         21.5690         20.3083    
    -1.63185         21.0529         19.4210    
   -0.912288         21.3953         20.4830    
    -1.12891         21.7131         20.5842    
    -1.15130         21.1185         19.9672    
   -0.781664         22.0926         21.3109    
    -1.45623         21.5978         20.1416    
    -2.22397         20.5164         18.2924    
   -0.535659         22.3614         21.8258    
    -2.36963         20.3572         17.9875    
    -1.18535         21.1538         19.9685    
    -1.48559         21.3233         19.8377    
    -1.66202         21.3094         19.6474    
    -1.74011         21.0451         19.3050    
    -1.05999         21.7884         20.7284    
   -0.843515         22.0250         21.1815    
    -2.12529         20.4672         18.3419    
   -0.374461E-01     22.6441         22.6066    
    -1.24016         21.1901         19.9499    
    -2.62098         20.0825         17.4615    
    -1.30986         21.3139         20.0041    
    -1.20481         21.6272         20.4224    
   -0.219570         22.7937         22.5741    
    -1.01324         22.0687         21.0554    
    -2.54536         20.1651         17.6198    
    -1.86177         20.9122         19.0504    
    -1.44985         21.3624         19.9125    
    -1.20903         21.6306         20.4215    
   -0.331928         22.7146         22.3827    
    -1.40186         20.9602         19.5583    
   -0.581145         21.8451         21.2639    
   -0.629941         22.7732         22.1433    
    -1.55989         19.9424         18.3825    
    -1.13079         21.7110         20.5802    
    -1.41932         20.6656         19.2463    
    -1.57131         21.2296         19.6583    
    -1.46203         21.5003         20.0383    
   -0.733367         21.9061         21.1727    
   -0.640449         22.2269         21.5865    
   -0.888997         21.5582         20.6692    
    -2.04371         20.9598         18.9161    
    -1.20040         21.6350         20.4346    
    -2.27273         22.1500         19.8772    
    -2.29367         20.4402         18.1465    
    -1.76952         20.4853         18.7158    
    -1.45812         21.9891         20.5310    
    -1.65447         22.1751         20.5206    
    -1.49345         21.7372         20.2437    
    -1.75268         20.1451         18.3924    
   -0.751017         21.5458         20.7948    
    -1.38979         21.2992         19.9094    
    -2.10750         21.9639         19.8564    
   -0.319819         23.5825         23.2626    
    -1.77436         21.0077         19.2333    
    -1.74083         21.0444         19.3035    
    -1.38450         21.4338         20.0493    
    -1.03978         21.5639         20.5241    
    -1.37335         21.4460         20.0726    
    -1.34244         20.7593         19.4169    
   -0.791415         22.0819         21.2905    
   -0.775458         22.2233         21.4478    
    -1.21409         21.7312         20.5171    
    -1.63419         21.5397         19.9055    
    -1.29335         21.5334         20.2400    
   -0.372007         21.4118         21.0398    
   -0.982712         21.9253         20.9426    
